amount,transaction_frequency,account_age,transaction_hour,previous_average_amount,failed_attempts,location_change,is_new_beneficiary,is_fraud
1838.9770607033201,2,1082,8,2764.9352324094893,0,0,0,0
656.4314054122286,2,253,1,806.0413182262906,0,0,0,0
62.2482027673526,2,139,22,81.28354973629563,0,0,0,0
195.7894136481492,2,400,13,293.57019865382756,0,0,0,0
401.7272011405383,5,545,8,301.3782206019853,0,0,0,0
674.5357479281288,2,1241,8,775.393266162387,0,0,0,0
139.5999696934573,5,306,16,106.00244361952373,0,0,0,0
108.92623813792315,1,845,15,83.33535721368712,0,0,0,0
204.29340792294883,2,1162,0,195.45224601907293,0,0,1,0
34.63961576861537,5,1267,7,53.005958312358004,0,0,0,0
74.90093135462092,4,1033,18,51.23434167024465,0,0,0,0
238.17616314847376,4,632,15,203.9569979521256,0,0,0,0
107.76587067479774,2,1051,13,100.34606041636863,0,0,0,0
47.240337835681984,6,481,15,63.940593828382035,0,0,0,0
435.8870078799411,1,1604,17,592.5003045988019,0,0,0,0
378.77382445856784,2,379,13,313.58790675597305,0,0,0,0
81.8877608047514,2,388,8,105.45497295372876,0,0,0,0
154.6437780043019,2,1433,6,102.07082560516386,0,0,0,0
116.3830229483394,3,1642,21,151.53082059871258,0,0,0,0
151.7784222307735,2,643,20,203.0208704740391,0,0,1,0
180.08073116398825,3,1469,14,196.0973418629424,0,0,0,0
393.08663951393237,2,1412,14,368.79022527341937,0,0,0,0
1211.2088602215347,2,279,15,852.0194274068784,0,0,0,0
66.9502806441221,3,447,21,55.78439225501797,0,0,1,0
233.44460114864586,5,487,10,157.67042030790842,0,0,0,0
32.15098366711963,6,1194,11,37.610951559150415,0,0,0,0
596.48614743679,4,909,15,836.0677420926412,0,0,0,0
174.55373471997643,6,1607,7,246.59890267286883,0,0,0,0
731.0244070555414,4,700,11,1097.6875678287588,0,0,0,0
37.82617412731952,3,803,15,29.371456766665847,0,0,0,0
104.69009535441955,3,1333,10,103.45240103000187,1,0,0,0
217.5707102379434,2,730,7,183.61159981310792,0,0,1,0
236.15432428228658,3,1649,18,296.519165553892,0,0,0,0
85.99113617823419,3,664,15,63.45266605200156,0,0,0,0
177.16166516530984,3,846,14,149.43390453442305,0,0,0,0
186.69494121114843,2,384,23,232.78851378493158,0,1,0,0
18.526884964459484,2,339,8,24.12496164131489,0,0,0,0
37.48431251016385,1,76,11,23.9241230355433,0,0,0,0
17294.465472695138,6,286,0,1000.3231120586912,0,1,1,1
257.23583051665486,3,132,9,397.5184578311689,0,0,0,0
707.5277187252997,2,502,17,508.45639536461186,0,0,0,0
376.400562299573,5,1144,15,320.23370121795955,0,0,0,0
75.3413379649437,1,270,10,52.569857157903094,0,0,0,0
309.1936811142489,4,1140,15,347.55772005191,0,0,0,0
549.5591031367234,6,986,14,536.0233108371501,0,0,0,0
192448.66127508914,13,385,2,368.4748370899823,1,1,1,1
91.65648025259235,5,1581,16,67.05222546682775,0,0,1,0
254.16402215915159,1,919,17,288.00382043208964,0,0,1,0
58.833324010111745,2,434,9,77.71968122871777,0,0,0,0
280.96935744965987,4,1221,15,381.57043024506845,0,0,0,0
6811.887988453552,10,743,15,964.2409231637473,2,1,1,1
179.45523563838728,4,1737,12,163.22407454192177,0,0,0,0
27.876039267238657,6,1645,9,43.36691658501523,0,0,0,0
58244.78115806237,9,386,8,1105.381086604124,2,0,1,1
376.5366275666362,2,1395,17,552.532257886264,0,0,1,0
412.3638303510106,6,1253,6,606.5001459315838,0,0,0,0
408.6221219485751,3,1068,17,329.7932651257714,0,1,0,0
1182.174797804368,2,350,4,1645.531900802282,0,0,0,0
40897.45359662699,4,756,13,232.84653280216742,1,1,1,1
191593.23913121657,11,1049,1,1127.2274501255642,3,0,1,1
24.562425955974522,4,1656,9,37.20670924990614,0,0,1,0
131.5729830246734,4,1014,6,82.80852698418427,0,0,0,0
17.167959448077752,2,1506,17,22.844731620644943,0,0,1,0
561.7411692992015,1,245,10,569.3333978548546,0,0,0,0
302.2152273403035,2,614,3,369.06768511157736,0,1,0,0
1050.1560407968084,2,1430,7,1177.4750795129723,0,0,0,0
323.5555349765638,5,557,5,449.6139199445475,0,0,0,0
292.83020436276405,5,190,12,364.8330254508891,0,0,0,0
250.8104111246243,2,184,11,275.7512888421986,0,0,0,0
92.10425716635132,1,128,3,74.66160703813124,0,0,0,0
220.66289955527114,2,1188,11,351.53345315176136,0,0,0,0
60.164705059177905,2,1179,15,58.5887015895617,0,0,0,0
407.7769671746399,2,761,8,366.75925731131997,0,0,1,0
180.36678521379324,2,654,17,153.35826342014897,0,0,0,0
57825.12250470638,6,1065,10,852.4565830619176,0,1,1,1
128.84353885793496,3,1581,18,199.02357907310923,1,0,0,0
47.80007692110602,2,1214,15,72.4815531731674,0,0,0,0
327.56839762482707,3,353,10,501.03496893754823,0,0,0,0
334.2697630411708,2,1753,21,313.0502021621782,0,0,0,0
452.10059290122695,2,139,21,684.9652500279251,0,0,0,0
3172.2671210568606,11,983,5,964.6138984372807,2,1,1,1
58.16018586458171,3,1053,14,38.96565706416439,0,0,0,0
289.5192234221451,4,812,14,201.732976703775,0,0,0,0
49.837765851163944,4,972,10,34.48466867087936,0,0,0,0
27.33044890090868,2,283,12,21.385054296976225,0,0,0,0
214.1872420386214,2,1130,3,188.18321386314176,0,0,0,0
33.38256045309038,5,469,13,33.93879815263343,0,0,0,0
128.17238443947664,3,415,14,119.1824516235635,0,0,0,0
165592.19334770198,10,12,1,730.5907991586254,2,0,1,1
96.44551869708074,6,1719,20,122.2002392859217,0,0,0,0
96.54424855168608,3,853,11,141.0363110292847,0,0,0,0
155.78354477051352,1,1452,13,153.82283306024306,0,0,0,0
2500.0,9,804,0,717.8984928398341,0,1,1,1
530.5879228166386,2,931,15,587.7551163232863,0,0,0,0
292.4799095470142,3,605,17,461.6005785035217,0,1,0,0
343.66299178623916,4,997,9,341.2849979966681,0,0,0,0
188.19775351310378,3,318,11,265.77999586409055,0,0,1,0
3480.654170762257,7,1,4,271.5087424708033,3,1,1,1
39.55859408917784,5,637,17,51.98501520306277,0,0,0,0
92.68777314217097,4,1544,16,116.17288650436561,0,0,0,0
96.81898319032906,3,1360,16,145.50950684691747,0,0,0,0
956.434696214839,6,253,16,862.7532498052528,0,0,0,0
221.34727301725144,4,1320,9,223.38235715053426,0,0,0,0
34247.01835076027,10,21,23,717.5605436366246,1,1,1,1
71.20047864294432,2,980,11,109.17420423932498,0,0,0,0
142.3412193515707,4,1774,17,203.97203960324643,0,0,0,0
7639.728734606931,8,534,5,845.1680244106674,1,0,1,1
512.915113696828,1,1624,18,377.8892852286756,0,0,0,0
192.70861447674076,1,794,9,170.62093124253133,0,0,0,0
136.81869346608647,2,1095,14,194.61706292635614,0,0,0,0
174.46482565718776,4,540,18,124.00602371358995,0,0,0,0
528.0107909343394,4,696,19,434.4488992385127,0,0,0,0
2500.0,9,917,4,104.16131786673495,1,1,1,1
122.55102873625253,4,118,10,181.80876453392997,0,0,0,0
163.95415552284658,3,461,18,154.91146361003922,0,0,0,0
5315.8763363638345,8,18,21,314.00580276826776,2,0,1,1
64.66938964055603,4,1783,9,98.0243019265205,0,0,0,0
660.2092053086543,3,1322,17,1007.3738145983459,0,0,1,0
99.51408856584317,4,546,20,141.87756854477993,0,0,0,0
29.57727402371409,1,1410,10,34.12218701535148,0,0,0,0
